StartDate,SleptAt,AwokeAt,Duration
18/12/2013,"December 18, 2013 at 10:27p.m.",19/12/2013 05:41:00,434
19/12/2013,"December 19, 2013 at 10:59p.m.",20/12/2013 05:47:00,408
20/12/2013,"December 20, 2013 at 10:09p.m.",21/12/2013 05:26:00,437
21/12/2013,"December 22, 2013 at 11:49p.m.",23/12/2013 11:30:00,701
16/01/2014,"January 16, 2014 at 10:22p.m.",17/01/2014 06:10:00,468
17/01/2014,"January 17, 2014 at 10:29p.m.",18/01/2014 05:58:00,449
18/01/2014,"January 18, 2014 at 10:48p.m.",19/01/2014 08:22:00,574
20/01/2014,"January 20, 2014 at 10:37p.m.",21/01/2014 06:10:00,453
21/01/2014,"January 21, 2014 at 09:51p.m.",22/01/2014 06:10:00,499
22/01/2014,"January 22, 2014 at 11:09p.m.",23/01/2014 06:10:00,421
23/01/2014,"January 23, 2014 at 11:18p.m.",24/01/2014 06:15:00,417
24/01/2014,"January 24, 2014 at 09:37p.m.",25/01/2014 06:11:00,514
25/01/2014,"January 26, 2014 at 02:16a.m.",26/01/2014 06:55:00,279
26/01/2014,"January 27, 2014 at 12:50a.m.",27/01/2014 09:15:00,505
27/01/2014,"January 27, 2014 at 09:55p.m.",28/01/2014 05:50:00,475
28/01/2014,"January 28, 2014 at 09:32p.m.",29/01/2014 06:12:00,520
30/01/2014,"January 30, 2014 at 11:38p.m.",31/01/2014 06:12:00,394
31/01/2014,"February 01, 2014 at 12:19a.m.",01/02/2014 06:13:00,354
01/02/2014,"February 01, 2014 at 10:52p.m.",02/02/2014 06:56:00,484
02/02/2014,"February 03, 2014 at 12:14a.m.",03/02/2014 06:59:00,405
03/02/2014,"February 03, 2014 at 08:39p.m.",04/02/2014 06:11:00,572
04/02/2014,"February 05, 2014 at 12:27a.m.",05/02/2014 06:12:00,345
05/02/2014,"February 05, 2014 at 09:19p.m.",06/02/2014 06:04:00,525
06/02/2014,"February 06, 2014 at 10:05p.m.",07/02/2014 06:20:00,495
07/02/2014,"February 07, 2014 at 10:13p.m.",08/02/2014 05:51:00,458
08/02/2014,"February 08, 2014 at 11:30p.m.",09/02/2014 07:15:00,465
09/02/2014,"February 10, 2014 at 01:20a.m.",10/02/2014 10:32:00,552
10/02/2014,"February 10, 2014 at 10:28p.m.",11/02/2014 06:11:00,463
11/02/2014,"February 11, 2014 at 11:10p.m.",12/02/2014 06:03:00,413
12/02/2014,"February 12, 2014 at 10:23p.m.",13/02/2014 05:45:00,442
13/02/2014,"February 14, 2014 at 12:08a.m.",14/02/2014 06:18:00,370
14/02/2014,"February 15, 2014 at 02:15a.m.",15/02/2014 06:06:00,231
15/02/2014,"February 15, 2014 at 11:00p.m.",16/02/2014 09:00:00,600
16/02/2014,"February 16, 2014 at 10:14p.m.",17/02/2014 09:11:00,657
17/02/2014,"February 18, 2014 at 01:16a.m.",18/02/2014 06:12:00,296
18/02/2014,"February 18, 2014 at 11:06p.m.",19/02/2014 05:50:00,404
19/02/2014,"February 19, 2014 at 09:02p.m.",20/02/2014 05:50:00,528
20/02/2014,"February 20, 2014 at 11:10p.m.",21/02/2014 05:50:00,400
21/02/2014,"February 22, 2014 at 01:17a.m.",22/02/2014 05:59:00,282
22/02/2014,"February 23, 2014 at 06:01a.m.",23/02/2014 09:40:00,219
24/02/2014,"February 24, 2014 at 11:10p.m.",25/02/2014 05:50:00,400
25/02/2014,"February 25, 2014 at 11:28p.m.",26/02/2014 06:03:00,395
26/02/2014,"February 26, 2014 at 10:50p.m.",27/02/2014 06:12:00,442
27/02/2014,"February 27, 2014 at 09:50p.m.",28/02/2014 06:12:00,502
28/02/2014,"February 28, 2014 at 10:50p.m.",01/03/2014 06:12:00,442
01/03/2014,"March 02, 2014 at 02:24a.m.",02/03/2014 12:02:00,578
02/03/2014,"March 02, 2014 at 10:19p.m.",03/03/2014 10:17:00,718
03/03/2014,"March 04, 2014 at 04:32a.m.",04/03/2014 13:42:00,550
04/03/2014,"March 05, 2014 at 03:26a.m.",05/03/2014 10:55:00,449
05/03/2014,"March 05, 2014 at 09:59p.m.",06/03/2014 06:08:00,489
06/03/2014,"March 06, 2014 at 09:16p.m.",07/03/2014 06:12:00,536
07/03/2014,"March 07, 2014 at 10:48p.m.",08/03/2014 06:11:00,443
08/03/2014,"March 09, 2014 at 03:56a.m.",09/03/2014 12:40:00,524
09/03/2014,"March 10, 2014 at 02:13a.m.",10/03/2014 11:35:00,562
10/03/2014,"March 10, 2014 at 11:31p.m.",11/03/2014 07:11:00,460
11/03/2014,"March 11, 2014 at 11:39p.m.",12/03/2014 07:11:00,452
12/03/2014,"March 12, 2014 at 11:05p.m.",13/03/2014 09:49:00,644
13/03/2014,"March 13, 2014 at 11:14p.m.",14/03/2014 07:11:00,477
14/03/2014,"March 14, 2014 at 11:21p.m.",15/03/2014 07:12:00,471
15/03/2014,"March 16, 2014 at 02:38a.m.",16/03/2014 11:40:00,542
16/03/2014,"March 17, 2014 at 01:56a.m.",17/03/2014 07:59:00,363
17/03/2014,"March 17, 2014 at 09:39p.m.",18/03/2014 06:54:00,555
18/03/2014,"March 19, 2014 at 12:40a.m.",19/03/2014 07:11:00,391
19/03/2014,"March 19, 2014 at 11:56p.m.",20/03/2014 07:02:00,426
20/03/2014,"March 20, 2014 at 11:47p.m.",21/03/2014 06:55:00,428
21/03/2014,"March 22, 2014 at 12:35a.m.",22/03/2014 07:08:00,393
22/03/2014,"March 23, 2014 at 03:06a.m.",23/03/2014 10:59:00,473
23/03/2014,"March 24, 2014 at 12:35a.m.",24/03/2014 10:10:00,575
24/03/2014,"March 25, 2014 at 01:16a.m.",25/03/2014 11:25:00,609
25/03/2014,"March 26, 2014 at 12:17a.m.",26/03/2014 07:07:00,410
26/03/2014,"March 27, 2014 at 12:02a.m.",27/03/2014 07:06:00,424
27/03/2014,"March 28, 2014 at 12:14a.m.",28/03/2014 07:15:00,421
