x,y
76.5,965.344
83.93752,782.784
77.87504,637.056
78.12496,336.944
85,549.88
85.81248,381.744
80.5,612.072
81.87504,453.696
84.87504,354.008
84.5,339.288
93.75,977.08
93.75,1034.296
92.37504,401.344
97,619.184
105,881.656
118,1216.776
125.37504,1195.512
121.25,800.616
129.5,850.048
134.62495,876.408
132.18752,837.168
126.37504,1228.952
127.5,1355.88
129.56248,1302.744
132.12495,1234.48
123,1375.888
108.5,1729.856
110,742.8
118,1032.432
114.37504,518.24
116.5,595.8
120.12496,712.872
122,546.776
119.25,422.96
121.12496,481.664
119.87504,350.416
124.25,604.016
124,280.936
128,408.696
132.12495,472.672
128,423.632
131.25,414.52
133.12495,396.032
145.75,822.528
149,885.736
151.5,753.296
154.06248,824.648
154.31248,391.608
165.37505,739.472
185.62495,1040.896
181.87505,963.968
175.37505,768.2
177.68752,592.928
175,473.384
181.5,658.944
190.25,800.68
198.37505,832.176
193.12495,745.512
222,920.216
227.75,1322.456
216,566.52
217.25,166.144
217.62495,562.024
207.37505,986.872
206.37505,632.368
202.75,675.816
192.87505,733.704
194,304.44
200,507.472
206.5,632.76
202,479.408
197.75,426.216
196.87505,401.04
198.37505,324.984
210.5,559.968
213.5,540.288
215.12495,376.856
250.87505,687.8
253.87505,636.224
253.37505,298.912
251,93.488
286,604.304
275.37503,413.984
271.37503,590.232
255,375.168
252,338.6
261,439.248
299,714.744
325.75,771.416
357.37503,614.984
445,801.864
443,1040.92
406,970.936
386,566.752
354.5,839.224
345,346.648
330.75,433.056
280,891.64
291,730.456
313,490.688
352.12497,662.136
381.18753,540.304
369,524.4
365,337.872
359,398.264
338,492.952
360,450.296
359,485.344
353,490.96
173.5,383.216
157.875,416.884
148.625,479.804
159,327.008
155,248.72
156,583.02
139.25,386.564
134.5,352.52
137.43752,337.74
150,335.676
157.25,453.608
160.5,357.728
155.5,329.324
158.375,293.6
165,392.232
165,296.512
157.375,252.152
158,232.68
162,320.628
173.18752,363.416
173,256.556
174.5,223
183.375,347.46
179.125,188.284
179.68752,139.072
180.5,121.36
174.25,115.628
176,130.228
178.25,139.996
178,162.588
164,206.26
160.5,228.056
179.25,325.58
177.25,231.648
178.75,157.64
185.875,380.2
181.5,321.836
181,405.048
221,820.58
244,1001.012
231,696.616
217,564.668
211,241.516
206.06248,399.768
216.375,292.364
208,259.568
200.06248,454.168
197,234.264
191,420.212
174,420.844
180,245.964
185,253.072
192.125,199.136
194.5,139.156
197.56248,201.292
184.93752,187.868
175.5,259.352
182,149.388
173.25,204.24
170.25,251.2
162.125,393.24
162.5,233.652
157.5,275.888
156.81248,259.328
175.31248,429.856
173.5,227.284
173.5,185.116
161.75,237.584
162.75,261.68
161.5,188.516
161.125,167.02
159.125,105.7
153.31248,149.064
150.25,300.084
141.125,378.168
141.25,529.784
141.625,307.268
148.25,286.612
150,314.004
149,450.424
144.5,301.96
147.75,361.42
157.75,368.26
153.5,272.036
149.18752,238.412
