Date;Open;High;Low;Close;Volume;Adj Close
07/10/2014;57.440.263;57.527.263;56.374.253;56.374.253;1911300;56.374.253
08/10/2014;56.557.257;57.388.259;55.749.248;57.250.258;1990900;57.250.258
09/10/2014;57.118.256;57.149.255;55.906.252;56.088.258;2524800;56.088.258
10/10/2014;55.772.248;56.513.258;54.405.243;54.449.248;3081900;54.449.248
13/10/2014;54.499.244;54.950.249;53.310.241;53.321.246;2581700;53.321.246
14/10/2014;53.890.244;54.719.251;53.317.237;53.794.241;2222600;53.794.241
15/10/2014;53.101.239;5.328.024;51.830.236;53.003.241;3719400;53.003.241
16/10/2014;51.900.234;52.943.237;51.500.236;52.451.239;3708600;52.451.239
17/10/2014;52.725.238;5.309.824;50.853.231;51.117.234;5539400;51.117.234
20/10/2014;50.945.232;52.176.235;5.081.023;52.084.241;2607500;52.084.241
21/10/2014;52.519.235;52.679.238;51.911.232;52.654.237;2336300;52.654.237
22/10/2014;52.989.244;53.980.243;52.880.235;53.271.243;2919300;53.271.243
23/10/2014;53.932.247;54.722.244;53.585.239;54.398.241;2348800;54.398.241
24/10/2014;54.436.248;54.488.246;53.579.241;53.978.248;1973100;53.978.248
27/10/2014;53.703.244;54.441.242;53.703.244;5.407.725;1185300;5.407.725
28/10/2014;54.300.249;54.898.245;54.162.242;54.890.252;1271000;54.890.252
29/10/2014;55.000.246;55.419.254;54.698.246;54.933.253;1770500;54.933.253
30/10/2014;54.895.252;5.528.025;54.351.249;55.031.251;1455500;55.031.251
31/10/2014;5.593.525;55.957.253;55.475.249;55.908.254;2035100;55.908.254
03/11/2014;55.550.253;55.790.254;55.323.251;55.522.246;1382300;55.522.246
04/11/2014;55.300.251;55.550.253;54.930.248;55.411.249;1244200;55.411.249
05/11/2014;55.680.248;55.680.248;54.405.243;54.592.242;2032300;54.592.242
06/11/2014;54.550.245;54.688.747;54.097.238;54.204.246;1333300;54.204.246
07/11/2014;54.621.252;54.621.252;53.867.244;54.101.247;1633800;54.101.247
10/11/2014;5.414.625;54.959.252;54.102.245;54.749.246;1134600;54.749.246
11/11/2014;54.849.246;55.194.247;54.630.249;55.029.244;965500;55.029.244
12/11/2014;55.039.251;55.046.252;54.517.244;54.731.247;1129400;54.731.247
13/11/2014;54.980.245;54.980.245;54.348.244;54.538.249;1339400;54.538.249
14/11/2014;54.668.244;54.668.244;5.421.525;54.440.251;1289200;54.440.251
17/11/2014;54.358.245;54.379.244;53.406.336;53.651.246;1725800;53.651.246
18/11/2014;53.750.242;54.194.245;53.417.242;53.503.245;1962700;53.503.245
19/11/2014;5.350.024;53.824.242;53.008.241;53.699.241;1391600;53.699.241
20/11/2014;53.125.243;53.511.238;53.108.241;53.483.244;1562000;53.483.244
21/11/2014;54.161.245;54.214.246;5.365.624;53.750.242;2223700;53.750.242
24/11/2014;53.765.249;54.270.247;53.562.245;53.927.247;1706000;53.927.247
25/11/2014;53.900.244;54.398.241;53.860.444;54.108.249;1789100;54.108.249
26/11/2014;54.088.248;54.155.241;53.704.444;54.037.241;1523000;54.037.241
28/11/2014;54.062.243;54.200.243;53.660.243;54.183.247;1148300;54.183.247
01/12/2014;53.890.244;54.141.243;53.186.238;53.380.239;2115400;53.380.239
02/12/2014;53.351.241;53.550.243;52.980.241;53.375.239;1525800;53.375.239
03/12/2014;5.314.424;53.599.842;52.926.241;53.132.238;1278000;53.132.238
04/12/2014;5.311.624;53.734.243;52.859.242;53.731.245;1392100;53.731.245
05/12/2014;53.100.242;53.289.243;52.428.239;52.526.237;2565600;52.526.237
08/12/2014;52.713.237;53.100.242;52.379.233;52.698.236;2329400;52.698.236
09/12/2014;52.214.236;53.419.244;52.050.237;53.337.244;1871300;53.337.244
10/12/2014;5.330.824;53.633.246;52.556.239;52.606.235;1712300;52.606.235
11/12/2014;52.780.235;53.392.241;52.710.238;52.834.241;1610800;52.834.241
12/12/2014;52.351.239;52.850.239;5.186.623;5.186.623;1994600;5.186.623
15/12/2014;52.274.234;52.310.233;51.327.233;51.380.229;2813400;51.380.229
16/12/2014;51.156.232;51.305.231;48.900.222;49.539.227;3964300;49.539.227
17/12/2014;49.700.225;5.070.023;49.681.224;5.048.923;2883200;5.048.923
18/12/2014;51.295.233;51.387.231;50.470.229;51.110.232;2926700;51.110.232
19/12/2014;51.151.232;51.772.234;50.691.331;51.635.231;3690200;51.635.231
22/12/2014;51.608.235;52.646.238;51.608.235;52.487.238;2723800;52.487.238
23/12/2014;52.700.237;53.456.241;52.629.235;53.059.242;2197600;53.059.242
24/12/2014;53.051.242;53.176.139;52.702.238;52.877.242;705900;52.877.242
26/12/2014;52.877.242;53.425.242;52.731.236;53.403.245;1036000;53.403.245
29/12/2014;53.219.245;53.548.241;53.001.337;53.033.243;2278500;53.033.243
30/12/2014;5.280.924;53.115.242;52.713.237;53.042.239;876300;53.042.239
31/12/2014;53.125.243;53.260.238;52.580.236;5.264.024;1368200;5.264.024
02/01/2015;5.290.124;53.127.244;52.410.233;5.248.124;1447600;5.248.124
05/01/2015;52.326.238;52.433.239;51.306.231;51.387.231;2059800;51.387.231
06/01/2015;51.500.236;51.617.733;50.105.227;50.196.226;2899900;50.196.226
07/01/2015;5.070.023;50.724.629;49.965.225;50.110.227;2065100;50.110.227
08/01/2015;49.799.224;5.034.823;49.100.221;50.268.225;3353600;50.268.225
09/01/2015;5.047.623;50.492.228;49.479.224;49.617.227;2069400;49.617.227
12/01/2015;49.494.225;49.597.826;48.756.221;49.255.221;2322400;49.255.221
13/01/2015;49.884.226;5.029.823;49.239.225;49.618.225;2370500;49.618.225
14/01/2015;49.465.224;50.323.229;49.300.223;50.087.227;2235700;50.087.227
15/01/2015;50.557.229;50.568.227;49.776.227;50.179.227;2715800;50.179.227
16/01/2015;50.001.227;5.081.923;50.000.227;50.808.229;2298300;50.808.229
20/01/2015;51.100.231;51.250.231;50.601.828;50.690.229;2227900;50.690.229
21/01/2015;50.725.228;51.928.241;50.620.231;51.804.231;2268700;51.804.231
22/01/2015;52.148.235;53.633.246;51.970.238;53.439.245;2676900;53.439.245
23/01/2015;53.559.246;54.217.245;53.300.241;53.995.244;2281700;53.995.244
26/01/2015;53.853.247;53.900.244;52.967.241;53.521.245;1543700;53.521.245
27/01/2015;52.997.237;5.307.024;51.819.238;51.863.237;1904000;51.863.237
28/01/2015;52.278.242;52.299.235;51.000.232;51.000.232;1683800;51.000.232
29/01/2015;51.100.231;51.109.231;50.120.227;51.066.233;4186400;51.066.233
30/01/2015;51.586.232;53.987.244;51.552.234;53.452.244;5606400;53.452.244
02/02/2015;53.173.238;53.300.241;51.855.232;52.848.238;2849800;52.848.238
03/02/2015;52.800.237;53.340.243;52.326.238;5.292.424;2038700;5.292.424
04/02/2015;5.292.424;53.267.442;52.127.236;52.276.235;1663700;52.276.235
05/02/2015;52.379.233;52.850.239;52.209.236;52.758.239;1849800;52.758.239
06/02/2015;52.764.243;53.720.246;52.641.237;53.100.242;1749400;53.100.242
09/02/2015;52.800.237;53.200.241;52.602.239;52.783.241;1267800;52.783.241
10/02/2015;52.930.238;53.770.243;52.692.238;53.694.241;1749900;53.694.241
11/02/2015;53.530.242;53.845.247;5.333.804;53.597.241;1377800;53.597.241
12/02/2015;5.372.524;54.482.248;53.467.539;54.293.247;1620200;54.293.247
13/02/2015;54.335.245;54.991.249;54.313.248;5.490.125;1900300;5.490.125
17/02/2015;54.683.251;55.000.246;54.109.247;5.428.425;1616800;5.428.425
18/02/2015;54.140.246;54.549.247;53.751.246;53.970.242;1453100;53.970.242
19/02/2015;53.804.241;54.311.247;53.801.242;54.287.243;989100;54.287.243
20/02/2015;54.313.248;54.375.247;53.580.244;53.895.244;1444400;53.895.244
23/02/2015;5.360.524;53.644.147;52.941.236;53.191.238;1457900;53.191.238
24/02/2015;53.000.242;5.367.924;52.825.238;53.609.242;1005100;53.609.242
25/02/2015;53.590.245;54.622.244;53.544.741;54.387.249;1826000;54.387.249
26/02/2015;54.321.248;55.614.253;54.150.246;55.548.252;2311500;55.548.252
27/02/2015;55.424.248;5.647.126;5.529.025;55.840.257;2410200;55.840.257
02/03/2015;56.053.256;57.215.262;55.875.253;5.713.426;2129600;5.713.426
03/03/2015;57.045.259;57.539.265;56.652.256;57.364.261;1704800;57.364.261
04/03/2015;57.187.256;57.711.258;56.801.261;57.337.258;1876800;57.337.258
05/03/2015;57.502.262;57.791.262;57.341.255;57.533.261;1389600;57.533.261
06/03/2015;57.488.258;57.668.262;5.667.626;56.768.756;1659100;56.768.756
09/03/2015;56.686.254;57.027.259;5.635.375;56.885.256;1062100;56.885.256
10/03/2015;56.425.254;56.485.251;55.473.247;55.501.254;1792300;55.501.254
11/03/2015;55.514.253;55.814.252;55.068.249;55.118.251;1820800;55.118.251
12/03/2015;55.351.251;55.637.253;55.046.252;55.551.251;1389600;55.551.251
13/03/2015;55.350.254;55.840.257;54.422.245;5.473.225;1703600;5.473.225
16/03/2015;55.095.251;55.685.248;54.600.248;55.451.251;1641000;55.451.251
17/03/2015;55.171.253;55.380.249;54.800.247;55.084.253;1805500;55.084.253
18/03/2015;55.250.248;55.978.258;54.700.247;55.950.251;2134500;55.950.251
19/03/2015;55.939.253;56.080.253;55.614.755;55.799.251;1197300;55.799.251
20/03/2015;56.165.257;56.172.253;55.905.255;56.036.254;2616900;56.036.254
23/03/2015;56.043.255;56.236.253;55.583.254;55.881.251;1643800;55.881.251
24/03/2015;56.256.254;5.745.926;56.121.259;5.701.926;2583300;5.701.926
25/03/2015;57.050.259;5.722.626;55.874.249;55.878.748;2152300;55.878.748
26/03/2015;55.759.255;55.890.254;5.506.525;55.517.252;1572600;55.517.252
27/03/2015;55.300.251;55.528.257;54.813.246;54.834.251;1897500;54.834.251
30/03/2015;5.516.225;55.347.249;54.817.249;5.520.325;1287500;5.520.325
31/03/2015;55.000.246;55.471.252;54.672.247;54.800.247;1588000;54.800.247
01/04/2015;54.860.244;55.114.249;53.950.247;54.256.244;1963100;54.256.244
02/04/2015;54.085.243;54.085.243;5.338.494;53.553.248;1716400;53.553.248
06/04/2015;53.222.237;53.841.239;52.957.241;53.676.743;1324400;53.676.743
07/04/2015;53.808.244;54.269.243;53.600.239;53.702.247;1302900;53.702.247
